config,BM,BN,BK,TM,TN,threads,registers_per_thread,static_shared_bytes,verify_pass,verify_max_error,case,M,N,K,min_ms,avg_ms,max_ms,avg_gflops,best_gflops
C06_64x64x16_8x8,64,64,16,8,8,64,102,8704,PASS,1.66893e-06,square_1024,1024,1024,1024,0.289792,0.299624,0.335872,7167.25,7410.43
C07_64x128x16_8x8,64,128,16,8,8,128,126,12800,PASS,1.66893e-06,square_1024,1024,1024,1024,0.249856,0.285722,0.317376,7515.99,8594.89
C08_128x64x16_8x8,128,64,16,8,8,128,126,12800,PASS,1.66893e-06,square_1024,1024,1024,1024,0.23552,0.245015,0.321536,8764.7,9118.05
C09_128x128x16_8x8,128,128,16,8,8,256,125,16896,PASS,1.66893e-06,square_1024,1024,1024,1024,0.253952,0.294133,0.377856,7301.06,8456.26
C10_64x64x8_4x8,64,64,8,4,8,128,72,4352,PASS,1.66893e-06,square_1024,1024,1024,1024,0.27136,0.286865,0.330752,7486.03,7913.78
C11_64x64x8_8x4,64,64,8,8,4,128,71,4352,PASS,1.66893e-06,square_1024,1024,1024,1024,0.244736,0.253901,0.27744,8457.96,8774.69
C12_64x64x16_4x8,64,64,16,4,8,128,72,8704,PASS,1.66893e-06,square_1024,1024,1024,1024,0.270336,0.282652,0.310272,7597.64,7943.76
C13_64x64x16_8x4,64,64,16,8,4,128,71,8704,PASS,1.66893e-06,square_1024,1024,1024,1024,0.238592,0.251608,0.386048,8535.03,9000.65
C00_baseline_64x64x8_8x8,64,64,8,8,8,64,119,4352,PASS,1.66893e-06,square_2048,2048,2048,2048,1.74163,1.75728,1.9671,9776.41,9864.24
C01_32x64x8_8x8,32,64,8,8,8,32,118,3328,PASS,1.66893e-06,square_2048,2048,2048,2048,1.86573,1.98196,2.44634,8668.13,9208.13
C02_64x32x8_8x8,64,32,8,8,8,32,121,3328,PASS,1.66893e-06,square_2048,2048,2048,2048,2.11661,2.23083,2.37978,7701.11,8116.7
C03_64x128x8_8x8,64,128,8,8,8,128,117,6400,PASS,1.66893e-06,square_2048,2048,2048,2048,1.83091,1.93778,2.30195,8865.75,9383.23
C04_128x64x8_8x8,128,64,8,8,8,128,118,6400,PASS,1.66893e-06,square_2048,2048,2048,2048,1.72237,1.82773,2.21389,9399.57,9974.56
C05_128x128x8_8x8,128,128,8,8,8,256,110,8448,PASS,1.66893e-06,square_2048,2048,2048,2048,1.9497,2.06326,2.41766,8326.58,8811.56
C06_64x64x16_8x8,64,64,16,8,8,64,102,8704,PASS,1.66893e-06,square_2048,2048,2048,2048,1.73158,1.86897,2.15021,9192.16,9921.48
C07_64x128x16_8x8,64,128,16,8,8,128,126,12800,PASS,1.66893e-06,square_2048,2048,2048,2048,1.74182,1.8493,2.3767,9289.92,9863.15
C08_128x64x16_8x8,128,64,16,8,8,128,126,12800,PASS,1.66893e-06,square_2048,2048,2048,2048,1.68038,1.78694,2.12173,9614.12,10223.8
C09_128x128x16_8x8,128,128,16,8,8,256,125,16896,PASS,1.66893e-06,square_2048,2048,2048,2048,1.75923,1.84468,2.13504,9313.2,9765.55
C10_64x64x8_4x8,64,64,8,4,8,128,72,4352,PASS,1.66893e-06,square_2048,2048,2048,2048,2.04186,2.07871,2.30806,8264.7,8413.85
C11_64x64x8_8x4,64,64,8,8,4,128,71,4352,PASS,1.66893e-06,square_2048,2048,2048,2048,1.86266,1.89915,2.1289,9046.1,9223.32
C12_64x64x16_4x8,64,64,16,4,8,128,72,8704,PASS,1.66893e-06,square_2048,2048,2048,2048,2.04493,2.07471,2.27728,8280.62,8401.21
C13_64x64x16_8x4,64,64,16,8,4,128,71,8704,PASS,1.66893e-06,square_2048,2048,2048,2048,1.83091,1.88617,2.12275,9108.34,9383.23
